Materia,RA,Inglés,Español
100-1 Fundamentos de Programación,a,An ability to apply knowledge of computing and mathematics appropriate to the discipline.,Habilidad para aplicar conocimientos de computación y matemáticas apropiados a su disciplina
100-1 Fundamentos de Programación,c,An ability to designcomma implementcomma and evaluate a computer-based systemcomma processcomma componentcomma or program to meet desired needs.,Habilidad para diseñarcomma implementarcomma y evaluar un sistema basado en computadorascomma procesoscomma componentes o programas que cumplan necesidades específicas.
100-1 Fundamentos de Programación,d / RAI6,An ability to function effectively on teams to accomplish a common goal.,Tener la capacidad para trabajar como parte de un equipo multidisciplinario.
100-1 Fundamentos de Programación,h / RAI4,Recognition of the need for and an ability to engage in continuing professional development.,Reconocer la necesidadcomma y tener la habilidad para involucrarse en el aprendizaje a lo largo de la vida.
200-1 Programación Orientada a Objetos,b,An ability to analyze a problemcomma and identify and define the computing requirements appropriate to its solution.,Habilidad para analizar un problemacomma e identificar y definir los requerimientos computacionales apropiados para su solución.
200-1 Programación Orientada a Objetos,c,An ability to designcomma implementcomma and evaluate a computer-based systemcomma processcomma componentcomma or program to meet desired needs.,Habilidad para diseñarcomma implementarcomma y evaluar un sistema basado en computadorascomma procesoscomma componentes o programas que cumplan necesidades específicas.
200-1 Programación Orientada a Objetos,i,An ability to use current techniquescomma skillscomma and tools necessary for computing practice.,Habilidad para usar técnicascomma habilidadescomma y herramientas actualescomma necesarias para la práctica de la computación
200-1 Programación Orientada a Objetos,j / RAI7,An ability to leadcomma manage and undertake projects.,Reconocer la necesidad y tener las habilidades para emprender.
200-1 Computación y Sociedad,e / RAI1,An understanding of professionalcomma ethicalcomma legalcomma security and social issues and responsibilities.,Comprender la responsabilidad ética y profesional.
200-1 Computación y Sociedad,g,An ability to analyze the local and global impact of computing on individualscomma organizationscomma and society.,Habilidad para analizar el impacto local y global de la computación sobre los individuoscomma organizaciones y sociedad
200-1 Computación y Sociedad,i,An ability to use current techniquescomma skillscomma and tools necessary for computing practice.,Habilidad para usar técnicascomma habilidadescomma y herramientas actualescomma necesarias para la práctica de la computación
200-1 Computación y Sociedad,RAI5,A knowledge of contemporary issues.,Comprender temas contemporáneos.
200-2 Sistemas de Bases de Datos,c,An ability to designcomma implementcomma and evaluate a computer-based systemcomma processcomma componentcomma or program to meet desired needs.,Habilidad para diseñarcomma implementarcomma y evaluar un sistema basado en computadorascomma procesoscomma componentes o programas que cumplan necesidades específicas.
200-2 Sistemas de Bases de Datos,d / RAI6,An ability to function effectively on teams to accomplish a common goal.,Tener la capacidad para trabajar como parte de un equipo multidisciplinario.
200-2 Sistemas de Bases de Datos,f / RAI2,An ability to communicate effectively with a range of audiences.,Tener la habilidad para comunicarse efectivamente de forma oral y escrita en español.
200-2 Sistemas de Bases de Datos,j / RAI7,An ability to leadcomma manage and undertake projects.,Reconocer la necesidad y tener las habilidades para emprender.
200-2 Matemáticas Discreta,a,An ability to apply knowledge of computing and mathematics appropriate to the discipline.,Habilidad para aplicar conocimientos de computación y matemáticas apropiados a su disciplina
200-2 Matemáticas Discreta,d / RAI6,An ability to function effectively on teams to accomplish a common goal.,Tener la capacidad para trabajar como parte de un equipo multidisciplinario.
200-2 Matemáticas Discreta,f / RAI2,An ability to communicate effectively with a range of audiences.,Tener la habilidad para comunicarse efectivamente de forma oral y escrita en español.
200-2 Matemáticas Discreta,i,An ability to use current techniquescomma skillscomma and tools necessary for computing practice.,Habilidad para usar técnicascomma habilidadescomma y herramientas actualescomma necesarias para la práctica de la computación
